Duration (in seconds),Finished,UserLanguage,clarity_ai_mw_01_1,clarity_ai_mw_02_1,clarity_ai_mw_03_1,clarity_ai_mw_04_1,clarity_ai_mw_05_1,clarity_ai_wd_01_1,clarity_ai_wd_02_1,clarity_ai_wd_03_1,clarity_ai_wd_04_1,clarity_ai_wd_05_1,clarity_ai_yd_01_1,clarity_ai_yd_02_1,clarity_ai_yd_03_1,clarity_ai_yd_04_1,clarity_ai_yd_05_1,AVERAGECLARITY_AI,clarity_hum_mw_01_1,clarity_hum_mw_02_1,clarity_hum_mw_03_1,clarity_hum_mw_04_1,clarity_hum_mw_05_1,clarity_hum_wd_01_1,clarity_hum_wd_02_1,clarity_hum_wd_03_1,clarity_hum_wd_04_1,clarity_hum_wd_05_1,clarity_hum_yd_01_1,clarity_hum_yd_02_1,clarity_hum_yd_03_1,clarity_hum_yd_04_1,clarity_hum_yd_05_1,AVERAGECLARITY_HUMAN,quality_ai_mw_01_1,quality_ai_mw_02_1,quality_ai_mw_03_1,quality_ai_mw_04_1,quality_ai_mw_05_1,quality_ai_wd_01_1,quality_ai_wd_02_1,quality_ai_wd_03_1,quality_ai_wd_04_1,quality_ai_wd_05_1,quality_ai_yd_01_1,quality_ai_yd_02_1,quality_ai_yd_03_1,quality_ai_yd_04_1,quality_ai_yd_05_1,AVERAGE_QUALITY_AI,quality_hum_mw_01_1,quality_hum_mw_02_1,quality_hum_mw_03_1,quality_hum_mw_04_1,quality_hum_mw_05_1,quality_hum_wd_01_1,quality_hum_wd_02_1,quality_hum_wd_03_1,quality_hum_wd_04_1,quality_hum_wd_05_1,quality_hum_yd_01_1,quality_hum_yd_02_1,quality_hum_yd_03_1,quality_hum_yd_04_1,quality_hum_yd_05_1,AVERAGE_QUALITY_HUMAN,age,young_binary,gender_1man_2woman,woman_binary,man_binary,nationality,migrant_binary,work,work_binary,car_driving,driving_binary,women_driver_status,migrant_worker_status,young_driver_status
536,1,EN,5,3,2,3,4,5,3,5,5,3,4,4,5,2,5,3.87,3,3,3,2,4,5,1,3,3,,4,2,4,4,5,3.29,5,4,4,4,4,5,5,4,5,4,5,5,4,5,5,4.53,4,,4,4,5,5,4,5,4,5,4,5,4,5,5,4.5,19,1,1,,1,non-UAE,1,job,1,2,1,0,1,1
537,1,EN,5,5,4,5,4,4,5,5,4,5,4,5,5,4,4,4.53,5,5,5,5,5,5,3,5,5,,5,3,4,2,5,4.43,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,4.8,5,,4,4,4,5,4,5,5,5,5,5,5,4,5,4.64,19,1,2,1,,UAE,0,job,1,-99,0,0,0,0
544,1,EN,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4.8,4,3,5,3,5,3,5,5,5,,5,4,5,5,5,4.43,5,5,5,5,4,5,4,3,5,5,5,5,5,5,5,4.73,5,,5,5,5,5,5,4,5,5,4,4,5,5,4,4.71,18,1,2,1,,UAE,0,student,0,0.2,1,1,0,1
545,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.93,5,,5,5,5,4,5,5,5,5,4,5,5,5,5,4.86,23,0,1,,1,UAE,0,student,0,3,1,0,0,0
547,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,1,2,1,,UAE ,1,student,0,2,1,1,0,1
554,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,,5,5,5,5,5,4.71,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,,,,non-UAE,1,job,1,-99,0,0,0,0
558,1,EN,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4.87,5,5,5,5,5,5,5,4,5,,5,5,5,5,5,4.93,4,4,4,5,5,5,5,4,4,5,5,3,4,3,5,4.33,5,,4,5,3,2,5,2,5,3,4,5,3,5,5,4,19,1,2,1,,UAE ,1,job,1,2,1,1,1,1
563,1,EN,5,3,1,3,3,5,4,2,1,2,5,1,5,5,5,3.33,5,4,5,5,5,5,1,5,5,,5,1,5,5,5,4.36,5,5,5,2,4,5,2,2,5,4,2,4,1,4,3,3.53,4,,4,4,5,5,5,5,3,5,5,2,5,5,5,4.43,19,1,2,1,,UAE ,1,student,0,2,1,1,0,1
565,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,1,1,,1,UAE ,1,student,0,2,1,0,0,1
569,1,EN,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.73,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE ,1,student,0,0.5,1,1,0,1
580,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,0,1,,1,UAE ,1,job,1,4,1,0,1,0
590,1,EN,5,3,5,5,5,5,5,5,2,5,5,5,5,5,3,4.53,5,5,3,1,3,5,5,3,5,,5,4,4,3,5,4,5,5,4,4,5,3,4,5,5,5,5,5,5,5,5,4.67,4,,5,4,4,3,4,4,4,4,4,4,3,5,4,4,21,1,2,1,,UAE,0,job,1,3,1,1,0,1
593,1,EN,5,4,5,4,3,4,4,3,5,3,5,5,5,3,4,4.13,3,5,5,3,4,3,5,5,4,,5,5,3,4,4,4.14,4,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4.33,4,,4,5,4,5,4,4,4,5,4,3,4,4,5,4.21,22,0,1,,1,UAE ,1,student,0,5,1,0,0,0
599,1,EN,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.93,5,5,5,5,5,5,3,5,5,,5,5,5,5,5,4.86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,4,5,5,5,5,5,5,4,5,4.86,22,0,2,1,,UAE ,1,job,1,1,1,1,1,0
600,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,1,2,1,,UAE,0,student,0,1,1,1,0,1
601,1,EN,5,3,5,5,5,5,5,4,5,5,5,4,5,5,4,4.67,5,5,4,5,5,4,2,3,4,,4,4,3,3,4,3.93,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,0,2,1,,UAE ,1,student,0,-99,0,0,0,0
605,1,EN,3,1,3,3,4,3,2,3,3,2,2,5,2,3,3,2.8,5,3,2,2,3,2,2,2,2,,3,2,2,3,4,2.64,3,3,2,4,4,3,3,4,5,2,3,5,4,3,3,3.4,3,,2,2,4,3,1,4,3,4,2,3,3,3,3,2.86,31,0,2,1,,non-UAE,1,job,1,7,1,1,1,0
619,0,EN,1,4,4,3,4,4,4,3,4,3,3,3,3,4,4,3.4,4,4,3,3,4,4,4,3,4,,3,4,3,4,4,3.64,4,3,3,5,3,3,3,5,4,4,4,4,4,4,3,3.73,5,,3,4,5,4,1,4,3,5,4,4,3,2,5,3.71,18,1,2,1,,UAE ,1,student,0,1,1,1,0,1
621,1,EN,2,1,2,2,5,1,2,3,1,2,5,2,4,5,4,2.73,1,3,1,5,1,2,2,1,2,,1,3,5,1,5,2.36,3,2,4,1,3,2,4,1,4,4,2,1,5,4,4,2.93,5,,1,1,4,2,2,1,4,5,4,3,1,1,3,2.64,22,0,2,1,,UAE ,1,student,0,5,1,1,0,0
638,1,EN,3,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1.73,4,1,5,5,3,1,1,4,1,,5,1,5,3,3,3,3,3,3,1,1,3,4,3,4,2,1,4,3,1,2,2.53,3,,3,4,4,1,2,3,3,3,3,3,3,3,2,2.86,26,0,2,1,,non-UAE,1,job,1,8,1,1,1,0
652,1,EN,5,5,3,5,3,5,3,3,5,5,5,2,3,4,5,4.07,4,5,3,4,4,4,4,4,4,,3,4,5,3,5,4,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4.67,5,,5,5,5,5,4,4,5,5,5,4,4,4,5,4.64,20,1,2,1,,UAE,0,job,1,1,1,1,0,1
652,1,EN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4.8,5,,5,5,5,5,1,5,5,5,5,5,4,5,4,4.57,19,1,1,,1,UAE ,1,student,0,3,1,0,0,1
653,1,EN,4,3,2,4,4,3,2,4,4,3,4,4,2,4,5,3.47,4,4,4,4,4,4,3,4,4,,4,4,4,4,5,4,4,3,3,3,4,2,4,2,4,4,2,4,4,4,4,3.4,4,,2,4,4,4,2,2,4,4,4,3,4,2,4,3.36,19,1,2,1,,UAE,0,student,0,1,1,1,0,1
654,1,EN,4,2,3,3,4,4,4,3,3,2,3,2,2,3,3,3,4,3,4,2,4,3,3,2,5,,2,2,3,1,4,3,4,4,4,4,3,3,4,2,3,2,3,4,2,4,3,3.27,4,,4,3,3,2,2,3,4,3,4,3,2,2,3,3,35,0,1,,1,non-UAE,1,job,1,8,1,0,1,0
665,1,EN,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4.73,3,5,5,5,5,5,5,5,5,,5,5,5,2,5,4.64,5,4,5,4,4,5,5,3,5,5,4,5,5,5,4,4.53,5,,3,5,5,4,4,4,5,5,5,4,5,4,4,4.43,19,1,2,1,,UAE ,1,student,0,2,1,1,0,1
669,1,EN,4,3,5,1,4,3,4,3,3,2,1,3,1,1,2,2.67,4,5,3,3,5,4,3,5,4,,3,3,4,3,3,3.71,2,2,3,2,4,3,2,3,3,3,4,3,3,3,3,2.87,3,,2,4,3,3,3,4,3,2,3,2,4,3,5,3.14,25,0,1,,1,non-UAE,1,job,1,6,1,0,1,0
672,1,EN,3,4,3,3,3,3,3,3,4,3,2,3,4,3,4,3.2,3,4,4,4,4,3,4,3,3,,3,3,3,3,3,3.36,1,5,5,1,5,2,5,1,5,5,1,1,3,3,5,3.2,1,,1,1,5,5,1,1,1,1,1,1,4,4,2,2.07,18,1,2,1,,UAE ,1,job,1,1,1,1,1,1
673,1,EN,4,3,4,3,2,3,3,3,4,3,3,2,3,3,2,3,5,5,4,4,3,5,1,2,5,,5,4,3,1,5,3.71,5,4,4,3,5,4,4,4,3,3,4,3,3,5,4,3.87,5,,3,4,5,5,1,4,5,3,5,4,3,1,3,3.64,25,0,1,,1,non-UAE,1,job,1,4,1,0,1,0
684,1,EN,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3.27,3,3,3,4,3,5,4,3,3,,5,3,3,3,5,3.57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,22,0,2,1,,UAE ,1,student,0,2,1,1,0,0
685,1,EN,5,4,5,4,5,5,5,5,5,5,5,5,5,5,3,4.73,5,5,5,5,5,3,5,5,5,,5,5,5,5,5,4.86,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,4.73,5,,4,5,5,4,5,5,5,5,5,5,5,5,5,4.86,20,1,2,1,,UAE ,1,student,0,3,1,1,0,1
689,1,EN,5,4,5,3,4,4,5,5,5,4,3,4,5,3,4,4.2,5,5,5,5,4,5,5,5,5,,4,5,5,3,5,4.71,4,4,5,4,5,5,5,5,4,5,4,5,5,5,4,4.6,5,,4,5,5,5,5,5,5,5,5,5,5,5,5,4.93,21,1,2,1,,UAE,0,student,0,3,1,1,0,1
694,1,EN,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4.8,5,5,5,5,5,5,3,4,5,,5,4,4,4,5,4.57,5,5,4,5,5,5,4,5,4,4,4,4,5,5,5,4.6,5,,5,5,5,5,3,5,5,5,5,5,5,4,5,4.79,,0,2,1,,UAE,0,student,0,-99,0,0,0,0
695,1,EN,3,5,3,5,4,5,4,3,3,5,4,3,3,5,5,4,5,4,5,5,5,5,5,3,5,,5,5,5,2,5,4.57,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4.73,5,,4,5,5,4,5,5,5,5,5,4,3,5,5,4.64,21,1,2,1,,UAE,0,student,0,3,1,1,0,1
696,1,EN,5,3,3,3,2,2,3,2,2,2,2,2,2,4,3,2.67,5,5,3,5,5,5,5,2,5,,2,2,2,2,5,3.79,3,3,3,3,3,5,4,4,3,3,3,3,3,5,4,3.47,5,,3,5,5,5,5,3,5,5,4,5,3,3,5,4.36,22,0,2,1,,UAE,0,job,1,3,1,1,0,0
697,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE,0,student,0,-0.75,0,0,0,0
709,1,EN,5,2,2,2,2,2,2,3,1,2,2,2,2,2,3,2.27,4,5,2,2,2,2,2,2,5,,2,2,2,2,4,2.71,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2.93,4,,3,3,4,3,3,3,3,3,3,2,3,3,5,3.21,,0,2,1,,non-UAE,1,job,1,8,1,1,1,0
713,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4.93,1,,5,5,5,5,2,1,5,5,5,1,3,5,5,3.79,22,0,2,1,,non-UAE,1,job,1,,,0,0,0
714,1,EN,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,4.73,5,5,5,5,4,5,5,4,5,,5,5,5,5,5,4.86,3,3,5,5,4,4,5,5,5,5,5,5,4,5,5,4.53,5,,5,4,5,5,5,5,5,5,5,3,4,4,5,4.64,19,1,2,1,,UAE ,1,student,0,1,1,1,0,1
716,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,,5,5,5,5,5,4.86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,4,5,5,5,5,5,5,5,5,5,5,5,4.93,,0,1,,1,non-UAE,1,job,1,3,1,0,1,0
718,1,EN,2,5,1,1,2,1,5,2,3,1,5,1,2,3,2,2.4,5,3,2,3,5,4,1,1,2,,5,2,3,3,4,3.07,5,4,2,2,1,1,2,4,1,1,2,2,2,3,1,2.2,3,,1,2,4,5,1,2,4,3,4,3,3,2,4,2.93,19,1,2,1,,UAE ,1,job,1,1,1,1,1,1
718,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,,5,5,5,5,1,4.57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,3,5,5,5,5,5,5,5,5,4.86,20,1,1,,1,UAE,0,job,1,2,1,0,0,1
719,1,EN,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4.87,5,5,5,5,5,5,5,5,4,,5,5,5,5,5,4.93,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4.93,5,,4,5,5,5,5,5,5,5,5,5,5,5,5,4.93,20,1,2,1,,UAE ,1,student,0,2,1,1,0,1
726,1,EN,5,3,3,3,2,3,4,3,3,2,4,2,2,4,5,3.2,4,4,3,3,2,3,2,3,5,,4,5,3,4,5,3.57,3,4,4,4,5,3,5,3,3,2,3,3,3,5,3,3.53,5,,3,4,4,4,2,3,5,5,4,3,2,2,5,3.64,23,0,2,1,,non-UAE,1,job,1,2,1,1,1,0
726,1,EN,5,5,4,4,5,5,4,4,5,5,5,4,5,4,5,4.6,4,5,4,5,4,5,5,5,4,,5,4,5,4,5,4.57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,4,5,4.93,20,1,2,1,,UAE ,1,student,0,-99,0,0,0,0
731,1,EN,4,5,4,4,5,5,2,2,2,2,4,5,4,1,5,3.6,5,5,4,4,3,4,4,1,5,,4,5,4,1,5,3.86,5,4,4,5,4,5,5,4,4,2,4,5,4,5,5,4.33,5,,4,5,4,1,2,2,5,4,4,2,5,4,5,3.71,18,1,2,1,,non-UAE,1,job,1,-99,0,0,0,0
739,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,4,5,4.93,5,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4.2,5,,5,5,4,5,5,5,5,5,4,4,4,4,5,4.64,19,1,2,1,,non-UAE,1,student,0,-99,0,0,0,0
740,1,EN,5,5,4,5,4,4,5,4,5,4,5,3,4,5,5,4.47,5,5,3,3,5,5,4,4,4,,4,4,4,4,5,4.21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,1,,1,non-UAE,1,student,0,1,1,0,0,1
741,1,EN,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,4.73,5,3,4,4,4,5,5,5,5,,5,5,5,4,4,4.5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,4.8,5,,4,5,5,4,5,5,5,5,5,5,4,5,5,4.79,20,1,2,1,,UAE ,1,student,0,1,1,1,0,1
761,1,EN,5,4,5,4,5,5,4,4,5,5,5,5,4,5,5,4.67,5,4,5,5,5,5,5,4,5,,5,5,4,5,5,4.79,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.93,5,,4,5,5,5,5,5,5,4,5,5,5,5,4,4.79,19,1,2,1,,non-UAE,1,student,0,-99,0,0,0,0
762,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,,5,5,5,5,5,4.93,1,5,5,4,4,4,4,4,5,3,5,5,4,5,5,4.2,5,,5,5,4,4,3,2,4,4,5,4,4,4,4,4.07,31,0,1,,1,non-UAE,1,job,1,13,1,0,1,0
763,1,EN,4,1,3,4,2,4,2,4,2,5,2,2,3,3,2,2.87,5,5,4,4,5,4,5,4,5,,5,2,3,4,5,4.29,4,2,4,2,4,4,2,2,4,2,2,2,1,3,2,2.67,5,,4,4,3,3,3,2,4,4,4,3,4,3,5,3.64,20,1,2,1,,non-UAE,1,student,0,-99,0,0,0,0
770,1,EN,4,2,4,1,3,2,1,3,3,1,1,3,1,2,2,2.2,5,5,3,4,5,5,1,3,5,,5,1,3,2,5,3.71,3,3,4,1,2,4,3,2,4,2,1,3,1,5,3,2.73,5,,4,3,5,5,3,4,4,5,5,1,3,2,4,3.79,,0,2,1,,UAE,0,student,0,1,1,1,0,0
778,1,EN,4,3,5,4,4,3,5,3,2,3,2,3,3,3,5,3.47,4,3,3,3,3,2,3,3,3,,3,3,3,2,3,2.93,5,4,4,4,5,4,5,4,5,5,5,4,5,5,5,4.6,5,,4,4,4,4,4,4,4,4,4,4,4,4,4,4.07,,0,2,1,,UAE,0,student,0,-99,0,0,0,0
782,1,EN,5,4,4,3,2,1,1,4,2,3,1,2,3,4,4,2.87,5,4,3,5,5,4,5,1,1,,4,2,2,4,5,3.57,4,4,3,2,4,5,3,3,5,4,1,2,5,3,4,3.47,5,,3,2,4,3,4,2,2,4,3,5,1,3,3,3.14,19,1,2,1,,UAE,0,student,0,3,1,1,0,1
794,1,EN,5,4,3,3,4,3,2,3,3,1,2,3,4,2,3,3,4,4,2,5,3,4,4,3,3,,5,3,3,1,2,3.29,2,3,2,1,3,3,1,3,1,2,2,4,1,3,3,2.27,2,,5,5,5,4,4,5,4,5,4,1,3,3,3,3.79,,0,1,,1,non-UAE,1,job,1,22,1,0,1,0
801,1,EN,4,3,4,3,4,3,4,4,3,4,4,3,4,4,3,3.6,3,2,4,2,4,3,3,4,2,,3,3,4,4,3,3.14,4,2,3,4,4,3,3,2,3,3,3,2,2,3,3,2.93,4,,3,4,3,4,3,2,4,2,4,4,3,2,4,3.29,21,1,2,1,,UAE,0,student,0,-99,0,0,0,0
804,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE ,1,job,1,,,0,0,0
804,1,EN,3,3,3,1,2,2,2,2,2,3,1,2,1,2,1,2,4,3,1,2,2,2,2,2,2,,5,2,2,2,5,2.57,2,2,2,4,2,4,2,2,2,2,3,2,2,2,2,2.33,4,,2,2,4,4,2,2,2,3,4,3,2,3,5,3,19,1,2,1,,UAE ,1,student,0,1.5,1,1,0,1
811,1,EN,4,3,3,4,4,3,4,2,3,4,3,4,2,4,4,3.4,4,4,4,4,4,4,3,4,4,,4,4,4,4,4,3.93,4,3,4,4,4,3,2,3,2,2,2,3,2,4,4,3.07,4,,4,4,4,4,2,4,2,4,4,2,2,2,4,3.29,20,1,2,1,,non-UAE,1,student,0,-99,0,0,0,0
815,0,EN,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.73,5,5,5,5,5,5,5,5,5,,5,2,5,5,5,4.79,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4.93,5,,5,5,5,5,4,4,5,5,5,4,5,5,5,4.79,,0,,,,non-UAE,1,job,1,,,0,0,0
817,1,EN,5,5,3,3,3,4,4,2,3,4,4,3,5,5,3,3.73,5,4,5,2,3,5,2,2,5,,5,1,3,3,5,3.57,3,4,3,2,4,2,2,2,2,3,2,3,2,5,3,2.8,4,,2,2,5,4,3,2,5,2,5,2,2,2,5,3.21,,0,1,,1,UAE,0,student,0,1,1,0,0,0
820,1,EN,5,3,1,2,1,3,2,1,4,1,4,3,4,2,4,2.67,5,5,4,4,3,4,5,5,3,,4,5,1,3,4,3.93,4,5,4,3,2,4,5,3,4,5,4,4,1,4,5,3.8,5,,3,2,2,1,5,4,4,4,1,3,4,3,2,3.07,20,1,2,1,,non-UAE,1,job,1,2,1,1,1,1
822,1,EN,2,2,3,2,2,3,4,2,2,2,4,2,4,3,2,2.6,2,1,2,5,3,5,2,2,3,,5,2,4,2,5,3.07,4,2,3,2,3,2,4,3,3,3,3,5,1,5,2,3,4,,5,4,2,4,2,2,2,3,4,2,3,2,4,3.07,,0,1,,1,non-UAE,1,job,1,10,1,0,1,0
838,1,EN,4,4,5,5,4,5,5,4,4,5,5,3,5,4,4,4.4,5,5,5,5,5,3,3,5,5,,4,3,5,5,4,4.43,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,4.8,5,,4,5,5,5,4,5,5,5,5,5,5,4,5,4.79,18,1,2,1,,non-UAE,1,job,1,0.3,1,1,1,1
843,1,EN,3,4,3,4,4,2,3,3,3,4,2,3,3,4,4,3.27,5,5,2,2,2,5,3,4,3,,4,4,1,2,3,3.21,4,5,3,4,5,4,5,3,3,3,5,3,5,5,5,4.13,5,,4,5,5,5,3,2,3,4,5,4,2,2,3,3.71,,0,1,,1,non-UAE,1,job,1,14,1,0,1,0
