Duration (in seconds),Exlcude_Speed,Finished,clarity_ai_mw_01_1 ,clarity_ai_mw_02_1,clarity_ai_mw_03_1,clarity_ai_mw_04_1,clarity_ai_mw_05_1,clarity_ai_wd_01_1,clarity_ai_wd_02_1,clarity_ai_wd_03_1,clarity_ai_wd_04_1,clarity_ai_wd_05_1,clarity_ai_yd_01_1,clarity_ai_yd_02_1,clarity_ai_yd_03_1,clarity_ai_yd_04_1,clarity_ai_yd_05_1,AVERAGECLARITY_AI,clarity_hum_mw_01_1,clarity_hum_mw_02_1,clarity_hum_mw_03_1,clarity_hum_mw_04_1,clarity_hum_mw_05_1,clarity_hum_wd_01_1,clarity_hum_wd_02_1,clarity_hum_wd_03_1,clarity_hum_wd_04_1,clarity_hum_wd_05_1,clarity_hum_yd_01_1,clarity_hum_yd_02_1,clarity_hum_yd_03_1,clarity_hum_yd_04_1,clarity_hum_yd_05_1,AVERAGECLARITY_HUMAN,quality_ai_mw_01_1,quality_ai_mw_02_1,quality_ai_mw_03_1,quality_ai_mw_04_1,quality_ai_mw_05_1,quality_ai_wd_01_1,quality_ai_wd_02_1,quality_ai_wd_03_1,quality_ai_wd_04_1,quality_ai_wd_05_1,quality_ai_yd_01_1,quality_ai_yd_02_1,quality_ai_yd_03_1,quality_ai_yd_04_1,quality_ai_yd_05_1,AVERAGEQUALITY_AI,quality_hum_mw_01_1,quality_hum_mw_02_1,quality_hum_mw_03_1,quality_hum_mw_04_1,quality_hum_mw_05_1,quality_hum_wd_01_1,quality_hum_wd_02_1,quality_hum_wd_03_1,quality_hum_wd_04_1,quality_hum_wd_05_1,quality_hum_yd_01_1,quality_hum_yd_02_1,quality_hum_yd_03_1,quality_hum_yd_04_1,quality_hum_yd_05_1,AVERAGEQUALITY_HUMAN,Fatalism_DivineControl,Fatalism_Luck,Fatalism_Internality-R,Fatalism_General,age,gender_1man_2woman,english_first_language_0no_1yes,language_other,time_in_uae(1alllife|2=0-3yrs|3=4-7yrs|9morethan8years),nationality,work,car_driving,religion,marital,education_years,income,women_driver_status,migrant_worker_status,young_driver_status
472,1,1,5,4,4,3,4,4,4,4,4,5,4,4,4,5,4,4.13,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4.73,5,5,4,5,5,5,5,5,4,5,4,4,4,4,4,4.53,4,4,5,4,5,5,5,4,5,5,4,4,4,5,4,4.47,4.83,2.75,1.4,3.25,23,2,0,arabic,1,uae,job,1,muslim,single,4,125000,1,0,0
413,1,1,4,3,3,1,3,5,4,3,2,2,2,1,3,3,3,2.8,3,3,3,3,5,5,3,1,5,3,3,5,1,3,3,3.27,4,3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,5,5,3,2,3,5,1,3,3,3,5,3,3,4,4,3.47,5.00,3.25,2.4,2.75,,2,0,arabic,1,uae,student,4,muslim,single,1,65000,1,0,1
669,1,1,4,3,5,1,4,3,4,3,3,2,1,3,1,1,2,2.67,4,5,3,3,5,4,3,5,4,5,3,3,4,3,3,3.80,2,2,3,2,4,3,2,3,3,3,4,3,3,3,3,2.87,3,5,2,4,3,3,3,4,3,2,3,2,4,3,5,3.27,2.00,2,4,2,25,1,1,english,2,saudi,,6,muslim,single,3,30000,0,1,0
811,1,1,4,3,3,4,4,3,4,2,3,4,3,4,2,4,4,3.4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3.93,4,3,4,4,4,3,2,3,2,2,2,3,2,4,4,3.07,4,3,4,4,4,4,2,4,2,4,4,2,2,2,4,3.27,4.83,2.25,2.2,4,20,2,0,,1,egyptian ,student,-99,muslim,single,2,20000,0,0,0
763,1,1,4,1,3,4,2,4,2,4,2,5,2,2,3,3,2,2.87,5,5,4,4,5,4,5,4,5,5,5,2,3,4,5,4.33,4,2,4,2,4,4,2,2,4,2,2,2,1,3,2,2.67,5,3,4,4,3,3,3,2,4,4,4,3,4,3,5,3.6,3.17,3,2.2,3,20,2,0,arabic,1,jordanian ,student,-99,muslim,single,1,65000,0,0,0
972,1,1,5,4,5,5,2,5,5,5,4,3,5,5,4,5,5,4.47,5,5,4,4,5,5,3,3,5,5,5,4,5,2,5,4.33,5,5,5,4,5,3,5,5,2,3,4,5,5,5,4,4.33,5,1,4,4,5,1,1,2,5,5,4,2,4,5,3,3.4,5.00,3.25,1.8,3.5,23,2,0,arabic,1,uae,job,6,muslim,single,4,150000,1,0,0
1090,1,1,5,4,4,5,5,2,5,3,4,3,5,5,2,4,4,4,5,5,4,5,5,5,4,3,5,5,5,5,5,2,5,4.53,5,4,4,4,4,4,4,3,3,4,3,3,3,5,3,3.73,5,2,3,4,5,4,2,2,5,5,3,5,4,2,5,3.73,5.00,2.5,1.4,4.5,22,2,0,arabic,1,yemen,student,4.5,muslim,single,3,30000,1,0,0
860,1,1,3,3,5,4,5,4,3,4,5,4,4,5,4,4,4,4.07,5,5,5,5,4,5,5,4,5,5,5,4,5,2,4,4.53,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.93,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.93,4.83,2.75,1.4,4,19,2,0,arabic,9,syrian,student,-99,muslim,single,1,30000,0,0,0
966,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4.93,5,5,5,5,5,5,5,4,5,5,5,4,3,4,5,4.67,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4.87,5,5,5,5,4,5,5,5,5,5,5,5,3,4,5,4.73,4.00,3.75,1.6,4.25,20,2,0,arabic,1,palestinian,student,2,muslim,single,1,30000,1,0,1
761,1,1,5,4,5,4,5,5,4,4,5,5,5,5,4,5,5,4.67,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4.80,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.93,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,4.8,5.00,5,1,5,19,2,0,arabic,1,egyptian ,student,-99,muslim,single,2,65000,0,0,0
1189,1,1,5,2,4,1,1,5,1,3,2,1,1,1,2,5,1,2.33,5,4,1,5,5,4,3,1,4,4,5,5,1,1,4,3.47,5,1,3,1,3,5,1,1,2,1,1,1,4,5,5,2.6,5,3,3,5,5,5,3,1,5,5,5,5,5,1,5,4.07,3.17,3,3,3,20,1,0,,1,palestinian ,student,2,muslim,single,3,30000,0,0,1
1129,1,1,4,2,1,1,2,3,1,1,3,1,1,1,3,4,1,1.93,5,2,1,5,5,5,3,1,5,4,3,4,1,1,4,3.27,5,2,5,2,2,2,2,3,3,2,2,3,2,4,2,2.73,5,1,1,4,4,5,1,1,5,4,5,4,1,3,5,3.27,3.67,3,3.8,3.5,22,1,0,arabic,3,saudi,student,4,muslim,married,3,30000,0,0,0
1222,1,1,4,5,1,5,4,1,4,1,4,1,1,4,4,4,1,2.93,5,5,2,1,5,5,4,1,5,5,1,4,1,1,4,3.27,5,4,1,5,4,1,5,1,1,1,2,1,1,5,2,2.6,5,1,3,1,5,5,2,1,1,4,4,4,4,1,5,3.07,5.00,2.5,2.8,3.5,24,1,0,other ,9,pakistani,student,3,muslim,single,3,10000,0,0,0
1267,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4.93,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4.93,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,4.8,5,3,4,5,5,5,4,5,5,4,4,5,5,4,5,4.53,4.83,4.25,1.6,4.5,21,1,1,english,1,uae,student,2,muslim,single,3,135000,0,0,1
1273,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,4,4,5,5,5,5,5,5,5,4.6,4.00,2.5,2.6,3.25,19,2,0,balochi,1,pakistani,student,1,muslim,single,0,30000,1,0,1
1459,1,1,4,4,3,3,3,3,4,3,3,3,3,5,3,5,3,3.47,5,5,5,5,4,5,3,5,5,5,5,3,3,4,5,4.47,4,4,4,3,5,3,3,3,1,4,4,5,3,4,5,3.67,5,1,4,4,4,5,2,5,4,4,5,4,1,4,5,3.8,5.00,2.75,1.4,4.5,19,2,0,,1,uae,job,1,muslim,single,2,65000,1,0,1
1373,1,1,4,4,4,4,3,4,1,3,3,4,3,3,2,4,3,3.27,3,4,4,3,4,3,3,4,3,4,4,4,4,4,3,3.60,3,3,4,4,5,5,4,5,4,4,5,4,4,4,4,4.13,4,3,5,5,5,5,3,4,4,4,4,3,4,2,5,4,4.00,2.75,3,4,23,1,0,arabic,1,uae,job,5,muslim,single,3,30000,0,0,0
1551,1,1,5,5,4,2,3,4,5,2,2,4,1,2,4,5,4,3.47,5,5,3,5,5,5,3,3,5,5,5,5,4,3,5,4.40,5,4,4,3,4,3,3,5,1,3,2,1,2,5,4,3.27,5,5,2,5,5,5,3,2,5,2,5,5,4,3,5,4.07,4.50,1,1.6,3.75,31,2,0,arabic,1,uae,job,12,muslim,single,4,135000,1,0,0
569,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.73,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.67,1.5,4,3.25,19,2,0,arabic,1,uae,student,0.5,muslim,single,1,30000,1,0,1
689,1,1,5,4,5,3,4,4,5,5,5,4,3,4,5,3,4,4.2,5,5,5,5,4,5,5,5,5,4,4,5,5,3,5,4.67,4,4,5,4,5,5,5,5,4,5,4,5,5,5,4,4.6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4.93,4.17,4.25,1.8,4.5,21,2,0,arabic,1,uae,student,3,muslim,single,6,30000,1,0,1
741,1,1,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,4.73,5,3,4,4,4,5,5,5,5,5,5,5,5,4,4,4.53,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,4.8,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,4.8,3.67,2,1.4,3.75,20,2,0,arabic,1,uae,student,1,muslim,single,2,30000,1,0,1
782,1,1,5,4,4,3,2,1,1,4,2,3,1,2,3,4,4,2.87,5,4,3,5,5,4,5,1,1,4,4,2,2,4,5,3.60,4,4,3,2,4,5,3,3,5,4,1,2,5,3,4,3.47,5,5,3,2,4,3,4,2,2,4,3,5,1,3,3,3.27,2.17,2.75,4,2.5,19,2,0,,1,uae,student,3,muslim,single,1,30000,1,0,1
820,1,1,5,3,1,2,1,3,2,1,4,1,4,3,4,2,4,2.67,5,5,4,4,3,4,5,5,3,3,4,5,1,3,4,3.87,4,5,4,3,2,4,5,3,4,5,4,4,1,4,5,3.8,5,4,3,2,2,1,5,4,4,4,1,3,4,3,2,3.13,3.50,1.25,3.2,1.75,20,2,0,arabic,1,,,2,other,single,3,65000,1,1,1
600,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.00,1,5,1,21,2,0,arabic,1,uae,student,1,muslim,single,6,10000,1,0,1
879,1,1,5,5,5,1,1,2,4,4,1,3,5,2,5,5,5,3.53,5,5,4,5,5,5,5,2,5,5,5,5,5,4,5,4.67,4,2,5,1,3,1,3,4,3,4,2,3,5,5,3,3.2,5,5,5,5,5,5,4,3,5,5,5,3,3,1,5,4.27,3.67,1.5,2.2,3.5,19,2,0,arabic,2,saudi,student,-99,muslim,single,2,90000,0,0,0
778,1,1,4,3,5,4,4,3,5,3,2,3,2,3,3,3,5,3.47,4,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2.93,5,4,4,4,5,4,5,4,5,5,5,4,5,5,5,4.6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.13,1.50,1.75,4.4,1,,2,1,arabic,1,uae,student,-99,muslim,single,6,30000,0,0,0
1021,1,1,2,3,4,3,4,2,3,3,4,3,2,3,2,2,3,2.87,2,3,4,4,5,4,1,4,3,5,5,3,2,1,4,3.33,4,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3.4,5,2,2,5,5,3,3,1,2,2,5,3,3,4,2,3.13,4.50,1.5,1.8,4,20,2,0,arabic,1,uae,student,2,muslim,single,1,10000,1,0,1
1030,1,1,5,3,4,3,5,3,5,5,4,5,4,5,3,5,5,4.27,3,5,5,3,5,5,2,3,5,5,5,4,3,4,5,4.13,5,4,4,5,5,4,5,5,5,4,3,4,3,5,4,4.33,5,3,5,5,4,5,3,2,5,4,5,5,5,5,5,4.4,4.33,3.25,1.6,3.75,19,2,0,arabic,1,uae,student,1,muslim,single,0,65000,1,0,1
1043,1,1,3,4,5,4,5,4,5,4,5,5,5,4,5,4,4,4.4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4.80,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4.8,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4.93,4.00,3.75,2.4,3.75,20,2,0,,1,,,,other,other,6,30000,0,1,0
1080,1,1,5,5,5,5,2,5,1,5,2,4,5,4,5,1,2,3.73,5,5,3,5,5,5,2,2,5,5,5,1,2,1,5,3.73,5,5,5,4,5,5,3,5,3,5,5,5,4,4,4,4.47,4,4,1,4,5,4,5,1,5,4,4,4,5,1,5,3.73,4.67,5,2,4.5,19,2,0,arabic,1,uae,student,2,muslim,single,1,30000,1,0,1
494,1,1,1,1,3,3,2,1,1,3,3,3,3,4,3,5,5,2.73,5,4,1,2,3,3,1,1,5,4,3,1,1,5,3,2.80,5,5,4,4,4,3,3,4,4,5,2,4,4,5,4,4,3,5,2,1,3,5,4,3,2,5,5,4,2,3,3,3.33,2.83,2.75,2.6,1.5,19,2,0,,1,uae,,,,,,,0,0,0
419,1,1,3,4,5,3,2,1,2,2,2,2,4,3,2,2,3,2.67,4,4,2,3,1,1,1,2,3,4,3,2,2,1,4,2.47,3,3,1,2,2,2,4,1,2,1,1,1,2,5,4,2.27,4,1,1,2,3,1,1,1,3,5,3,1,1,1,4,2.13,2.50,2.25,4.2,2.25,,2,0,arabic,1,uae,job,3,muslim,single,3,30000,1,0,1
563,1,1,5,3,1,3,3,5,4,2,1,2,5,1,5,5,5,3.33,5,4,5,5,5,5,1,5,5,3,5,1,5,5,5,4.27,5,5,5,2,4,5,2,2,5,4,2,4,1,4,3,3.53,4,4,4,4,5,5,5,5,3,5,5,2,5,5,5,4.4,2.00,1.5,5,1.5,19,2,0,arabic,1,uae,student,2,muslim,single,2,30000,1,0,1
652,1,1,5,5,3,5,3,5,3,3,5,5,5,2,3,4,5,4.07,4,5,3,4,4,4,4,4,4,5,3,4,5,3,5,4.07,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4.67,5,5,5,5,5,5,4,4,5,5,5,4,4,4,5,4.67,3.33,3.5,2.2,2.25,20,2,0,arabic,1,uae,job,1,muslim,single,3,30000,1,0,1
849,1,1,5,5,4,5,4,4,4,4,4,5,5,5,5,5,4,4.53,5,5,4,4,5,5,3,4,4,5,5,5,4,5,5,4.53,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,4,4,4,4.6,4.17,4.25,1.2,3.5,20,2,0,"Arabic
",1,uae,student,-99,muslim,single,5,125000,0,0,0
441,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,4.6,3,3,5,3,5,5,5,5,5,5,5,3,5,5,5,4.47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.83,5,1,5,21,2,0,arabic,1,uae,student,4,muslim,single,6,30000,1,0,1
963,1,1,5,3,4,5,5,5,2,5,3,1,5,5,1,5,5,3.93,5,3,5,2,5,5,5,5,5,2,5,4,5,5,5,4.40,5,5,4,5,2,2,1,5,4,1,1,5,5,2,5,3.47,5,3,5,5,2,5,3,5,5,4,5,5,4,4,5,4.33,5.00,2.75,2,4.75,,2,0,arabic,1,iraqi,student,-99,muslim,single,2,10000,0,0,0
965,1,1,2,2,2,3,4,4,4,4,3,4,4,5,4,5,2,3.47,5,5,4,5,5,5,5,4,5,5,5,5,4,4,5,4.73,5,5,2,2,4,4,4,5,4,4,3,4,4,5,4,3.93,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,4.73,5.00,2.75,1.8,5,20,2,0,arabic,1,uae,student,-99,muslim,single,2,90000,0,0,0
1030,1,1,5,4,5,3,2,5,1,1,1,5,4,5,3,4,2,3.33,5,3,1,5,4,5,4,5,4,5,5,4,3,5,4,4.13,4,2,3,4,5,3,4,3,5,4,4,5,2,4,3,3.67,5,2,5,3,5,4,1,4,5,4,4,5,4,5,5,4.07,4.67,2.5,2.6,1.5,19,2,0,arabic,1,uae,student,2,muslim,single,0,30000,1,0,1
713,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4.93,1,1,5,5,5,5,2,1,5,5,5,1,3,5,5,3.6,3.83,4,2.4,4,22,2,0,,9,,,,muslim,single,6,,0,1,0
388,1,1,3,5,3,4,4,1,3,4,2,2,1,3,2,2,3,2.8,1,5,4,1,3,1,3,1,3,4,2,3,4,3,4,2.80,2,4,2,3,2,5,4,3,2,4,1,4,5,4,3,3.2,5,1,3,4,5,3,1,5,1,4,1,3,5,3,5,3.27,3.50,2.5,3.8,2.75,20,2,1,english,1,,,,hindu,other,3,10000,0,1,0
479,1,1,5,3,5,5,5,5,5,4,5,5,5,3,5,3,4,4.47,5,5,1,5,5,5,2,2,3,5,4,5,5,2,4,3.87,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.93,4.83,4.75,1.4,4.5,20,2,0,arabic,1,uae,student,-99,muslim,single,1,30000,0,0,0
545,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.93,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4.87,5.00,5,1,5,23,1,0,arabic,1,uae,student,3,muslim,single,3,150000,0,0,0
547,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,1,5,20,2,0,arabic,9,uae,student,2,muslim,single,0,10000,1,0,1
554,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4.73,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,1,5,19,,0,arabic,1,,,-99,muslim,single,1,150000,0,1,0
718,1,1,2,5,1,1,2,1,5,2,3,1,5,1,2,3,2,2.4,5,3,2,3,5,4,1,1,2,5,5,2,3,3,4,3.20,5,4,2,2,1,1,2,4,1,1,2,2,2,3,1,2.2,3,1,1,2,4,5,1,2,4,3,4,3,3,2,4,2.8,4.50,4.5,1.6,4.25,19,2,0,,1,uae,,1,muslim,single,5,10000,1,0,1
740,1,1,5,5,4,5,4,4,5,4,5,4,5,3,4,5,5,4.47,5,5,3,3,5,5,4,4,4,5,4,4,4,4,5,4.27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,1,5,19,1,0,arabic,9,saudi,student,1,muslim,single,3,150000,0,0,1
485,1,1,1,3,3,3,3,1,3,3,1,1,1,3,3,3,4,2.4,3,1,3,1,3,3,3,3,3,3,3,3,3,1,1,2.47,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.93,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.83,1,4.8,1.25,,1,0,,1,,,,muslim,single,3,10000,0,1,0
3428,1,1,5,3,4,3,5,4,2,3,2,3,3,4,3,4,4,3.47,5,3,2,5,4,5,5,2,4,5,5,4,3,2,5,3.93,4,3,4,3,5,4,4,4,3,4,4,4,3,4,3,3.73,5,4,3,3,2,4,2,4,3,3,2,5,4,3,5,3.47,2.00,2,3.6,3,21,2,0,arabic,1,palestinian,student,-99,muslim,single,0,30000,0,0,0
945,1,1,1,5,5,5,5,2,5,5,5,5,4,2,3,1,5,3.87,5,2,3,5,2,5,5,2,5,5,5,4,5,4,5,4.13,1,3,5,5,2,4,2,4,5,4,4,5,4,5,4,3.8,5,5,3,5,5,4,5,3,4,5,4,5,5,4,5,4.47,5.00,4.25,1.4,2.75,20,2,0,arabic,1,uae,student,,muslim,single,1,125000,0,0,0
420,1,1,3,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3.2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.00,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.17,3,3.4,3,21,1,0,arabic,9,uae,student,3,muslim,single,3,65000,0,0,1
718,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,1,4.60,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,4.73,5.00,5,1,5,20,1,0,arabic,1,uae,.,2,muslim,single,1,65000,0,0,1
1079,1,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4.87,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4.87,5,3,3,1,5,4,5,5,3,5,1,2,1,5,2,3.33,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.33,3.5,2.8,4.5,21,2,0,arabic,1,uae,,3,muslim,single,3,30000,1,0,1
377,1,1,5,5,5,5,5,4,5,1,4,4,5,5,1,5,5,4.27,5,5,5,5,5,4,5,5,5,1,5,5,4,3,5,4.47,4,4,4,4,5,5,5,5,4,5,5,4,5,5,5,4.6,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4.87,4.67,3.75,1.2,2.75,,2,0,arabic,2,uae,student,1,muslim,single,3,30000,1,0,1
